timestamp,recv_time,market,asset_id,price,size,side
1787315181055,2026-08-21T12:26:21.030290+00:00,0x2e4b58fc18dbffd74d5275d89fb076943f21992763c45dcadd81391b83bde13c,88912926533493988427719291698947688154042720958310632316541141466409683822293,0.003,1000,SELL
1787315208360,2026-08-21T12:26:48.346244+00:00,0xac02cbb049e46d6a3627c0fdf52fa554982a9025d45968207b362acb6ca4b830,57748138085022719760345772310040703848567377822400132842014290209986511882046,0.011,126.66,SELL
1787315238188,2026-08-21T12:27:18.126093+00:00,0x5e464d85eb49f22d876f3ed6168a7db5e2288e9ae1eb91effd2758e994676f86,81470465080656150088482886298356783621062802919110096763062861781139262816347,0.998,1000,BUY
1787315300064,2026-08-21T12:28:19.999254+00:00,0x2e4b58fc18dbffd74d5275d89fb076943f21992763c45dcadd81391b83bde13c,88912926533493988427719291698947688154042720958310632316541141466409683822293,0.003,1000,SELL
1787315337503,2026-08-21T12:28:57.437431+00:00,0x876506d8b2bd7a0d3fa4fe18c024eee6e1dd81ee24c26795dadd6cfe4a7b5d0d,63842529068710005716169325380315470359047749786610778647370693404952498013178,0.28,328.5,BUY
1787316300165,2026-08-21T12:45:00.094889+00:00,0x80b3af88cb991980e8da1ce86b9794a0957f96ec98c29319dd7ba65e9744d82b,93005850938352995663334573245996733794924636935158112548608169054144721737755,0.5,51.57,SELL
1787316320129,2026-08-21T12:45:20.048258+00:00,0x80b3af88cb991980e8da1ce86b9794a0957f96ec98c29319dd7ba65e9744d82b,93005850938352995663334573245996733794924636935158112548608169054144721737755,0.5,174.67,SELL
1787316380438,2026-08-21T12:46:20.355747+00:00,0xa69ef420d8b4075ad8ba8611d02c63cb2ece46f5c8c643af223c272689b0c96f,61725366781282351729996972759460154434089275036953062948669003249092837754960,0.99,100.505,BUY
1787316382279,2026-08-21T12:46:22.204938+00:00,0x80b3af88cb991980e8da1ce86b9794a0957f96ec98c29319dd7ba65e9744d82b,93005850938352995663334573245996733794924636935158112548608169054144721737755,0.51,1.960783,BUY
1787316382367,2026-08-21T12:46:22.284754+00:00,0x9cf563d7b55aa9aa876d5d7e55126347eee473f0ae56d799e325fdef2bf25297,110888499829195123034987289109543572302716575133123608254293945182185650232552,0.96,100.552075,BUY
1787316412953,2026-08-21T12:46:52.865906+00:00,0xdf9bf27ee5757c55b44b8b9826ddc9ec3a8809aa3278634c45edbb7fc8f1a3e3,42038775866198212615491650114881818219665139981763207699110491615333273795415,0.29,100.482757,BUY
1787316443227,2026-08-21T12:47:23.141092+00:00,0x12aa13b3da17ceae1b0a59b5d5b77121e91bb79b4bb0b52bf6543ed3f8d0953b,78632395083310670734315205502061249602319069653915932320155846460019107676757,0.77,100.545453,BUY
1787316565172,2026-08-21T12:49:25.089027+00:00,0xac02cbb049e46d6a3627c0fdf52fa554982a9025d45968207b362acb6ca4b830,28239418772633645184924651434956000849078365566842629564562475378531350731731,0.989,4.044454,BUY
